ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,LargePhoto,EnglishDescription,FrenchDescription,ChineseDescription,ArabicDescription,HebrewDescription,ThaiDescription,GermanDescription,JapaneseDescription,TurkishDescription,StartDate,EndDate,Status
12,CR-9981,,,,Crown Race,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
13,CS-2812,,,,Chain Stays,,,,FALSE,NA,1000,750,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
14,DC-8732,,,,Decal 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
15,DC-9824,,,,Decal 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
16,DT-2377,,,,Down Tube,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
17,EC-M092,,,,Mountain End Caps,,,,FALSE,NA,1000,750,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
18,EC-R098,,,,Road End Caps,,,,FALSE,NA,1000,750,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
19,EC-T209,,,,Touring End Caps,,,,FALSE,NA,1000,750,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
20,FE-3760,,,,Fork End,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
21,FH-2981,,,,Freewheel,,,,FALSE,Silver,500,375,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
22,FW-1000,,,,Flat Washer 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
23,FW-1200,,,,Flat Washer 6,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
24,FW-1400,,,,Flat Washer 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
25,FW-3400,,,,Flat Washer 9,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
26,FW-3800,,,,Flat Washer 4,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
27,FW-5160,,,,Flat Washer 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
28,FW-5800,,,,Flat Washer 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
29,FW-7160,,,,Flat Washer 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
30,FW-9160,,,,Flat Washer 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
31,FC-3654,,,,Fork Crown,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
32,FC-3982,,,,Front Derailleur Cage,,,,FALSE,Silver,800,600,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
33,FL-2301,,,,Front Derailleur Linkage,,,,FALSE,Silver,800,600,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
34,GP-0982,,,,Guide Pulley,,,,FALSE,NA,800,600,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
35,GT-0820,,,,LL Grip Tape,,,,FALSE,NA,800,600,,,NA,,0,,,L ,,,,,,,,,,,,,01-Jun-98,,Current
36,GT-1209,,,,ML Grip Tape,,,,FALSE,NA,800,600,,,NA,,0,,,M ,,,,,,,,,,,,,01-Jun-98,,Current
37,GT-2908,,,,HL Grip Tape,,,,FALSE,NA,800,600,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
38,HJ-1213,,,,Thin-Jam Hex Nut 9,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
39,HJ-1220,,,,Thin-Jam Hex Nut 10,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
40,HJ-1420,,,,Thin-Jam Hex Nut 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
41,HJ-1428,,,,Thin-Jam Hex Nut 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
42,HJ-3410,,,,Thin-Jam Hex Nut 15,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
43,HJ-3416,,,,Thin-Jam Hex Nut 16,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
44,HJ-3816,,,,Thin-Jam Hex Nut 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
45,HJ-3824,,,,Thin-Jam Hex Nut 6,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
46,HJ-5161,,,,Thin-Jam Hex Nut 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
47,HJ-5162,,,,Thin-Jam Hex Nut 4,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
48,HJ-5811,,,,Thin-Jam Hex Nut 13,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
49,HJ-5818,,,,Thin-Jam Hex Nut 14,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
50,HJ-7161,,,,Thin-Jam Hex Nut 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
51,HJ-7162,,,,Thin-Jam Hex Nut 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
52,HJ-9080,,,,Thin-Jam Hex Nut 12,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
53,HJ-9161,,,,Thin-Jam Hex Nut 11,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
54,HN-1024,,,,Hex Nut 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
55,HN-1032,,,,Hex Nut 6,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
56,HN-1213,,,,Hex Nut 16,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
57,HN-1220,,,,Hex Nut 17,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
58,HN-1224,,,,Hex Nut 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
59,HN-1420,,,,Hex Nut 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
60,HN-1428,,,,Hex Nut 9,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
61,HN-3410,,,,Hex Nut 22,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
62,HN-3416,,,,Hex Nut 23,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
63,HN-3816,,,,Hex Nut 12,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
64,HN-3824,,,,Hex Nut 13,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
65,HN-4402,,,,Hex Nut 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
66,HN-5161,,,,Hex Nut 10,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
67,HN-5162,,,,Hex Nut 11,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
68,HN-5400,,,,Hex Nut 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
69,HN-5811,,,,Hex Nut 20,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
70,HN-5818,,,,Hex Nut 21,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
71,HN-6320,,,,Hex Nut 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
72,HN-7161,,,,Hex Nut 14,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
73,HN-7162,,,,Hex Nut 15,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
74,HN-8320,,,,Hex Nut 4,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
75,HN-9161,,,,Hex Nut 18,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
76,HN-9168,,,,Hex Nut 19,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
77,HT-2981,,,,Handlebar Tube,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
78,HT-8019,,,,Head Tube,,,,FALSE,NA,800,600,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
79,HU-6280,,,,LL Hub,,,,FALSE,NA,500,375,,,NA,,1,,,L ,,,,,,,,,,,,,01-Jun-98,,Current
80,HU-8998,,,,HL Hub,,,,FALSE,NA,500,375,,,NA,,1,,,,,,,,,,,,,,,,01-Jun-98,,Current
81,KW-4091,,,,Keyed Washer,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
82,LE-1000,,,,External Lock Washer 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
83,LE-1200,,,,External Lock Washer 4,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
84,LE-1201,,,,External Lock Washer 9,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
85,LE-1400,,,,External Lock Washer 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
86,LE-3800,,,,External Lock Washer 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
87,LE-5160,,,,External Lock Washer 6,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
88,LE-6000,,,,External Lock Washer 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
89,LE-7160,,,,External Lock Washer 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
90,LE-8000,,,,External Lock Washer 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
91,LI-1000,,,,Internal Lock Washer 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
92,LI-1200,,,,Internal Lock Washer 4,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
93,LI-1201,,,,Internal Lock Washer 9,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
94,LI-1400,,,,Internal Lock Washer 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
95,LI-3800,,,,Internal Lock Washer 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
96,LI-5160,,,,Internal Lock Washer 6,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
97,LI-5800,,,,Internal Lock Washer 10,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
98,LI-6000,,,,Internal Lock Washer 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
99,LI-7160,,,,Internal Lock Washer 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
100,LI-8000,,,,Internal Lock Washer 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
101,LJ-1213,,,,Thin-Jam Lock Nut 9,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
102,LJ-1220,,,,Thin-Jam Lock Nut 10,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
103,LJ-1420,,,,Thin-Jam Lock Nut 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
104,LJ-1428,,,,Thin-Jam Lock Nut 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
105,LJ-3410,,,,Thin-Jam Lock Nut 15,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
106,LJ-3416,,,,Thin-Jam Lock Nut 16,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
107,LJ-3816,,,,Thin-Jam Lock Nut 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
108,LJ-3824,,,,Thin-Jam Lock Nut 6,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
109,LJ-5161,,,,Thin-Jam Lock Nut 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
110,LJ-5162,,,,Thin-Jam Lock Nut 4,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
111,LJ-5811,,,,Thin-Jam Lock Nut 13,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
112,LJ-5818,,,,Thin-Jam Lock Nut 14,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
113,LJ-7161,,,,Thin-Jam Lock Nut 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
114,LJ-7162,,,,Thin-Jam Lock Nut 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
115,LJ-9080,,,,Thin-Jam Lock Nut 12,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
116,LJ-9161,,,,Thin-Jam Lock Nut 11,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
117,LN-1024,,,,Lock Nut 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
118,LN-1032,,,,Lock Nut 6,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
119,LN-1213,,,,Lock Nut 16,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
120,LN-1220,,,,Lock Nut 17,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
121,LN-1224,,,,Lock Nut 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
122,LN-1420,,,,Lock Nut 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
123,LN-1428,,,,Lock Nut 9,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
124,LN-3410,,,,Lock Nut 22,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
125,LN-3416,,,,Lock Nut 23,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
126,LN-3816,,,,Lock Nut 12,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
127,LN-3824,,,,Lock Nut 13,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
128,LN-4400,,,,Lock Nut 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
129,LN-5161,,,,Lock Nut 10,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
130,LN-5162,,,,Lock Nut 11,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
131,LN-5400,,,,Lock Nut 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
132,LN-5811,,,,Lock Nut 20,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
133,LN-5818,,,,Lock Nut 21,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
134,LN-6320,,,,Lock Nut 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
135,LN-7161,,,,Lock Nut 14,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
136,LN-7162,,,,Lock Nut 15,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
137,LN-8320,,,,Lock Nut 4,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
138,LN-9080,,,,Lock Nut 19,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
139,LN-9161,,,,Lock Nut 18,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
140,LR-2398,,,,Lock Ring,,,,FALSE,Silver,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
141,LR-8520,,,,Lower Head Race,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
142,LW-1000,,,,Lock Washer 4,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
143,LW-1200,,,,Lock Washer 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
144,LW-1201,,,,Lock Washer 10,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
145,LW-1400,,,,Lock Washer 6,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
146,LW-3400,,,,Lock Washer 13,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
147,LW-3800,,,,Lock Washer 8,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
148,LW-4000,,,,Lock Washer 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
149,LW-5160,,,,Lock Washer 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
150,LW-5800,,,,Lock Washer 12,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
151,LW-6000,,,,Lock Washer 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
152,LW-7160,,,,Lock Washer 9,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
153,LW-8000,,,,Lock Washer 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
154,LW-9160,,,,Lock Washer 11,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
155,MA-7075,,,,Metal Angle,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
156,MB-2024,,,,Metal Bar 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
157,MB-6061,,,,Metal Bar 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
158,MP-2066,,,,Metal Plate 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
159,MP-2503,,,,Metal Plate 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
160,MP-4960,,,,Metal Plate 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
161,MS-0253,,,,Metal Sheet 2,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
162,MS-1256,,,,Metal Sheet 3,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
163,MS-1981,,,,Metal Sheet 7,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
164,MS-2259,,,,Metal Sheet 4,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
165,MS-2341,,,,Metal Sheet 5,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
166,MS-2348,,,,Metal Sheet 6,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
167,MS-6061,,,,Metal Sheet 1,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
168,MT-1000,,,,Metal Tread Plate,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
169,NI-4127,,,,LL Nipple,,,,FALSE,NA,1000,750,,,NA,,0,,,L ,,,,,,,,,,,,,01-Jun-98,,Current
170,NI-9522,,,,HL Nipple,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
171,PA-187B,,,,Paint - Black,,,,FALSE,NA,60,45,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
172,PA-361R,,,,Paint - Red,,,,FALSE,NA,60,45,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
173,PA-529S,,,,Paint - Silver,,,,FALSE,NA,60,45,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
174,PA-632U,,,,Paint - Blue,,,,FALSE,NA,60,45,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
175,PA-823Y,,,,Paint - Yellow,,,,FALSE,NA,60,45,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
176,PB-6109,,,,Pinch Bolt,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
177,RA-2345,,,,Cup-Shaped Race,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
178,RA-7490,,,,Cone-Shaped Race,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
179,RF-9198,,,,Reflector,,,,FALSE,NA,1000,750,,,NA,,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
180,RM-M464,,G  ,,LL Mountain Rim,,,,FALSE,NA,800,600,,,NA,435,0,,,L ,,,,,,,,,,,,,01-Jun-98,,Current
181,RM-M692,,G  ,,ML Mountain Rim,,,,FALSE,NA,800,600,,,NA,450,0,,,M ,,,,,,,,,,,,,01-Jun-98,,Current
182,RM-M823,,G  ,,HL Mountain Rim,,,,FALSE,NA,800,600,,,NA,400,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
183,RM-R436,,G  ,,LL Road Rim,,,,FALSE,NA,800,600,,,NA,445,0,,,L ,,,,,,,,,,,,,01-Jun-98,,Current
184,RM-R600,,G  ,,ML Road Rim,,,,FALSE,NA,800,600,,,NA,450,0,,,M ,,,,,,,,,,,,,01-Jun-98,,Current
185,RM-R800,,G  ,,HL Road Rim,,,,FALSE,NA,800,600,,,NA,400,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
186,RM-T801,,G  ,,Touring Rim,,,,FALSE,NA,800,600,,,NA,460,0,,,,,,,,,,,,,,,,01-Jun-98,,Current
